Date,Time,Platform,Content_Type,Buyer_Stage,Content_ID,Hook,Copy,CTA,Asset,Hashtags,UTM,Status,Metrics
2026-06-10,10:00,Instagram/Facebook,Post,Awareness,content-01,"Si un cliente entra a tu web y tiene que pensar más de 3 segundos para entender qué vendes, ya perdiste la venta.","Muchas páginas intentan decir todo al mismo tiempo y terminan ahuyentando a las visitas. Para un negocio, una web no es un folleto digital, es un filtro comercial. Debe responder rápido: qué ofreces, para quién es y cuál es el próximo paso. En Sinergia transformamos páginas confusas en webs simples, directas y que filtran curiosos para dejarte solo prospectos reales.",¿Tu web actual genera ventas o solo dudas? Mándanos el link al privado y te damos un diagnóstico rápido en 1 audio.,assets/portada_post_checklist.png,"#WebClara #DiagnosticoGratis #SinergiaWeb #PaginasWeb #Emprendedores",utm_source=instagram&utm_medium=social&utm_campaign=lote5948,pending,
2026-06-11,12:00,Instagram,Story,Awareness,content-02,"Sé honesto, ¿cuál de estos 3 problemas te está haciendo perder más clientes esta semana?","Historia interactiva para iniciar conversaciones. Encuesta con 3 opciones: ""Nadie entiende mi web"", ""Mis redes son un caos"", ""No sé cómo lanzar mi servicio"". La idea es detectar el punto de dolor exacto y abrir conversación.","Vota y te enviamos un recurso gratuito por privado para empezar a arreglarlo hoy mismo.",assets/story_02.png,"#DiagnosticoDigital #Encuesta #RedesSociales #Sinergia #MarketingDigital",utm_source=instagram&utm_medium=social&utm_campaign=lote5948,pending,
2026-06-12,15:00,Instagram,Carousel,Awareness,content-03,"Las 5 señales invisibles de que tu perfil de Instagram te está haciendo perder ventas todos los días.","Las 5 señales de que tu perfil te está robando ventas (y no te das cuenta). 1. Te llegan mensajes pero todos preguntan por cosas que ya explicaste. 2. Tus seguidores leen tus posts pero nadie hace clic en tu link. 3. Tu biografía parece el currículum de una empresa, no una solución para el cliente. 4. Un cliente potencial entra a tu web y se pierde entre 10 opciones diferentes. 5. Publicas por publicar, sin saber qué acción quieres que tome el usuario. Si te identificas con 2 o más, estás dejando plata en la mesa. Ordenar tu base digital es más barato que perder clientes.","Escríbenos ""AUDITORIA"" y te ayudamos a identificar cuál es tu mayor fuga de ventas.",assets/carousel_03.png,"#RedesOrdenadas #Auditoria #Instagram #PresenciaDigital #VentasOnline",utm_source=instagram&utm_medium=social&utm_campaign=lote5948,pending,
2026-06-13,10:00,LinkedIn,Post,Consideration,content-04,"Tus redes sociales atraen la atención, pero es tu página web la que cierra la venta.","Piénsalo como tu cliente: ve tu reel, le gusta lo que haces, pero antes de pagarte, necesita saber si eres de confianza. Va al link de tu bio. Si tu web es lenta, confusa o no explica claramente tus precios y servicios, esa confianza se rompe en un segundo. Tu web no está ahí para verse bonita; está para filtrar curiosos, generar confianza y recibir consultas listas para comprar. En Sinergia armamos piezas comerciales, no solo decorativas.","¿Sientes que tu web actual espanta clientes? Escríbenos ""WEB"" al privado y la miramos juntos.",assets/post_04_linkedin.png,"#WebConfianza #LinkedIn #Pymes #Sinergia #DiseñoWeb",utm_source=linkedin&utm_medium=social&utm_campaign=lote5948,pending,
2026-06-16,12:00,Instagram/Facebook,Story,Awareness,content-05,"Si pudieras delegar un solo dolor de cabeza hoy mismo, ¿cuál elegirías?","Story con selector A/B/C. Opciones: A. ""Armar una web que venda sola"", B. ""Que mis redes tengan sentido"", C. ""Lanzar mi nuevo servicio sin estresarme"". Permite segmentar al usuario basado en su urgencia.","Toca tu mayor urgencia y te contamos cómo lo resolveríamos nosotros.",assets/story_05.png,"#ServiciosDigitales #Selector #Emprendedores #Sinergia #Decision",utm_source=instagram&utm_medium=social&utm_campaign=lote5948,pending,
2026-06-17,15:00,Instagram,Carousel,Consideration,content-06,"Publicar 5 veces a la semana no sirve de nada si tu cuenta parece un catálogo desordenado.","Cómo ordenar el caos de tus redes en 4 pasos (sin trabajar el doble). Paso 1. Define tu Promesa: ¿Qué problema resuelves y para quién? Paso 2. Elige solo 3 pilares de contenido (Educar, Mostrar Autoridad, Vender). No inventes la rueda. Paso 3. Crea formatos que puedas repetir rápido (ej. 1 Carrusel de valor, 1 Reel mostrando el proceso). Paso 4. Nunca publiques sin un Call to Action (CTA) claro. Dile a la gente exactamente qué hacer. Si no tienes tiempo para armar y sostener este sistema, en Sinergia lo hacemos por ti.","Guarda esta guía. Si prefieres que un equipo profesional lo implemente por ti, envíanos un DM con la palabra ""SISTEMA"".",assets/carousel_06.png,"#RedesEnOrden #Estrategia #Contenido #Sinergia #CommunityManager",utm_source=instagram&utm_medium=social&utm_campaign=lote5948,pending,
2026-06-18,10:00,Instagram/Facebook,Post,Consideration,content-07,"Publicar todos los días no te va a traer más ventas si tus seguidores siguen sin entender qué haces.","Hacer más ruido no mejora un mensaje confuso. Si tus redes no explican de forma súper simple a quién ayudas y cómo pueden contactarte, subir otro Reel solo aumenta el caos. Antes de desgastarte produciendo 30 piezas al mes, conviene ordenar la idea central y los llamados a consulta. Sinergia trabaja justamente sobre ese criterio: estrategia antes que volumen.","Si pasas horas creando contenido pero tu WhatsApp sigue vacío, hablemos. Mándanos un mensaje.",assets/post_07.png,"#EstrategiaContenido #RedesSociales #Sinergia #Marketing #Ventas",utm_source=instagram&utm_medium=social&utm_campaign=lote5948,pending,
2026-06-19,12:00,Instagram,Story,Awareness,content-08,"¿Qué es lo que más te frustra a la hora de intentar vender por internet?","Historia con caja de preguntas. Objetivo: recibir el vocabulario real del cliente (""me clavan el visto"", ""no entienden mis precios"", ""hacer la web me estresa""). Responder manualmente en privado.","Desahógate en la cajita. Te leo y te doy mi opinión sincera al privado.",assets/story_08.png,"#DiagnosticoCliente #CajaPreguntas #Sinergia #MarketingDigital #Emprendedores",utm_source=instagram&utm_medium=social&utm_campaign=lote5948,pending,
2026-06-20,15:00,Instagram/Facebook,Carousel,Decision,content-09,"Lanzar un nuevo servicio sin estas 5 cosas es como invitar gente a una tienda con las luces apagadas.","Vas a lanzar algo nuevo. Si no tienes estas 5 cosas listas, frena. 1. Una oferta irresistible resumida en una sola frase (si no lo puedes explicar rápido, no se vende). 2. Una página de destino (Landing Page) que mate objeciones y explique el precio. 3. Una secuencia de correos o posts para ""calentar"" a la audiencia antes del día 1. 4. Un canal directo para dudas (ej. un botón flotante de WhatsApp). 5. Una urgencia o escasez real (¿por qué tienen que comprarlo hoy y no el mes que viene?). Un lanzamiento exitoso es 80% estructura y 20% improvisación.","¿Estás por lanzar algo importante? Escríbenos ""LANZAMIENTO"" y armamos tu ruta para no dejar ventas perdidas.",assets/carousel_09.png,"#LanzamientoDigital #Checklist #Sinergia #Emprendedores #VentasOnline",utm_source=instagram&utm_medium=social&utm_campaign=lote5948,pending,
2026-06-23,10:00,Instagram/Facebook,Post,Consideration,content-10,"No dejes que una agencia te diseñe una web bonita sin antes hacerte estas 3 preguntas incómodas.","La mayoría de las agencias empiezan diseñando logos o eligiendo colores. Ese es el camino rápido al fracaso comercial. Antes de proponer una web, un calendario o un lanzamiento, en Sinergia necesitamos entender: 1) Cuál es tu producto más rentable, 2) Quién es tu mejor cliente, y 3) Qué acción exacta quieres que tomen. Ese orden evita que pagues por piezas ""lindas pero vacías"". Cada activo que creamos tiene una función concreta: vender.","Contanos qué proceso comercial te está dando dolores de cabeza hoy y vemos el camino más simple para arreglarlo.",assets/post_10.png,"#ProcesoSinergia #Confianza #WebProfesional #Sinergia #Emprendedores",utm_source=instagram&utm_medium=social&utm_campaign=lote5948,pending,
